INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA AMBIENTAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;1
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2020;1;9
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2020;2;1
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2020;1;63
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2020;2;10
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;3
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;5
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;8
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;7
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;1
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;11
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;1
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;26
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;30
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;24
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;15
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Hombre;2020;1;2
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Hombre;2020;2;2
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Mujer;2020;1;8
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Mujer;2020;2;3
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;22
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;16
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;26
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;15
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;8
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;7
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;1
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;3
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;2
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;12
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;19
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;16
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;14
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;1
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;2
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2020;1;39
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2020;2;54
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2020;1;115
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2020;2;49
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Hombre;2020;1;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Hombre;2020;2;10
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Mujer;2020;1;22
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Mujer;2020;2;7
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Hombre;2020;1;20
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Hombre;2020;2;20
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Mujer;2020;1;17
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Mujer;2020;2;6
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Hombre;2020;1;7
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Hombre;2020;2;7
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Mujer;2020;1;19
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Mujer;2020;2;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Hombre;2020;1;12
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Hombre;2020;2;14
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Mujer;2020;1;29
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Mujer;2020;2;9
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Hombre;2020;1;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Hombre;2020;2;30
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Mujer;2020;1;17
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Mujer;2020;2;12
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Hombre;2020;1;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Hombre;2020;2;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Mujer;2020;1;6
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Mujer;2020;2;4
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;TECNOLOGIA EN COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;BIOLOGIA;Matemáticas y ciencias naturales;Presencial;Hombre;2020;1;4
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;BIOLOGIA;Matemáticas y ciencias naturales;Presencial;Mujer;2020;1;4
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;7
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;3
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;3
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMÁTICOS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa de Cabal;TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMÁTICOS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;1
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNICA PROFESIONAL EN SISTEMAS E INFORMATICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;1
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;4
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;37
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;12
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;46
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Hombre;2021;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Hombre;2021;2;29
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Mujer;2021;2;43
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;70
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;19
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;20
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;70
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;42
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;81
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;45
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;124
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;40
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Hombre;2021;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Hombre;2021;2;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Mujer;2021;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Mujer;2021;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;12
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;40
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;30
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;7
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;40
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Hombre;2021;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Hombre;2021;2;23
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Mujer;2021;2;43
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;27
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;9
