INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;INSTITUCIÓN TÉCNICA PROFESIONAL;PEREIRA;TECNICA PROFESIONAL EN SISTEMAS E INFORMATICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;FISIOTERAPIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;15
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;FISIOTERAPIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;17
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;31
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TERAPIA RESPIRATORIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;OPTOMETRIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;17
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;BIOLOGIA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;MUJER;2019;1;3
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;MUJER;2019;2;10
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TERAPIA RESPIRATORIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;4
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;OPTOMETRIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;7
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;TECNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;5
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;TECNOLOGIA EN SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;2
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;2
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;98
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;37
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ODONTOLOGÍA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;9
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERÍA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;30
